PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH
Single Family Residential,Overland Park,66214,369000,3,2,Kingston Oaks,1630,3675,1982,226,260
Single Family Residential,Overland Park,66212,615000,3,3,Bel Court Condominium,3137,28876,1987,196,405
Single Family Residential,Overland Park,66207,520000,3,2,Empire Estates,2068,15061,1959,251,35
Single Family Residential,Overland Park,66207,325000,4,2.5,Nall Hills,1752,8436,1969,186,21
Single Family Residential,Kansas City,66106,249950,3,2,Brillhart Grd,1236,33106,1965,202,
Townhouse,Overland Park,66212,265000,2,1.5,Gramercy Park,1815,1452,1972,146,200
Single Family Residential,Overland Park,66204,450000,4,2.5,The Clearing,2044,10704,1982,220,
Single Family Residential,Overland Park,66202,423000,3,2,Walmer View,1855,13068,1956,228,20
Townhouse,Overland Park,66212,220000,3,2.5,Gramercy Place,1560,21420,1970,141,471
Single Family Residential,Overland Park,66221,650000,4,4.5,St. Andrews Place,4421,10969,1998,147,67
Townhouse,Leawood,66211,439950,3,3,Huntington Farms,2383,2812,1977,185,395
Single Family Residential,Overland Park,66213,600000,4,4.5,Nottingham By The Green,3525,11325,1997,170,71
Single Family Residential,Overland Park,66062,998000,6,5.5,Coffee Creek Crossing,4595,14219,2016,217,108
Single Family Residential,Overland Park,66210,445000,4,3.5,Cobblestone Park,2690,7405,1992,165,40
Single Family Residential,Prairie Village,66208,990000,5,4,Prairie Fields,4403,17424,,225,
Single Family Residential,Olathe,66062,689950,5,4.5,Highlands of Kensington,4235,9428,2004,163,58
Single Family Residential,Overland Park,66013,828000,6,4.5,Riverstone Valley,4906,10042,2018,169,
Single Family Residential,Overland Park,66221,629950,4,3.5,Wellington Park Hunters Glen,3610,8352,1998,175,69
Townhouse,Overland Park,66223,465000,3,3,Quincy Court,3172,2877,2000,147,328
Townhouse,Overland Park,66213,378000,3,2.5,Stone Haven,1766,6728,1985,214,154
Townhouse,Overland Park,66223,320000,2,2.5,Treesmill,1191,8106,1991,269,165
Townhouse,Overland Park,66213,360000,3,3,BEDFORD COURT AT NOTTINGHAM,1463,5633,1989,246,290
Single Family Residential,Overland Park,66221,749000,6,5,Windsor Hills,4563,19390,2004,164,74
Single Family Residential,Overland Park,66223,995000,4,4.5,Lionsgate- The Links,5049,16497,2001,197,79
Single Family Residential,Overland Park,66207,439000,3,2,Round Hill,1474,12282,1960,298,
Single Family Residential,Overland Park,66085,610000,4,3.5,The Wilderness,3263,12556,2000,187,83
Single Family Residential,Overland Park,66221,755500,5,4,Chapel Hill,2719,9450,2025,278,100
Single Family Residential,Overland Park,66212,800000,4,4,Pinehurst Est.,4841,13834,1977,165,56
Single Family Residential,Overland Park,66213,705000,5,5,Windham Park Terrace Place,4590,15755,1992,154,42
Single Family Residential,Overland Park,66085,715000,5,4.5,Sundance Ridge- Archers Landing,3376,13080,2021,212,113
Condo/Co-op,Overland Park,66085,337000,2,2,Wilderness- Haven,1123,22950,2018,300,320
Single Family Residential,Overland Park,66204,375000,3,1.5,,1706,12650,1964,220,
Single Family Residential,Overland Park,66213,490000,4,2.5,Amber Meadows,2466,10006,1989,199,40
Townhouse,Overland Park,66209,357500,2,3.5,Stoneybrook,1916,3554,1990,187,287
Single Family Residential,Overland Park,66213,960000,5,4.5,Nottingham By The Green,5666,30028,1994,169,71
Single Family Residential,Overland Park,66213,960000,6,5.5,Nottingham By The Green,6406,18424,1993,150,
Single Family Residential,Olathe,66215,355000,3,2.5,Palisades At College,1612,1858,1999,220,412
Condo/Co-op,Overland Park,66085,340000,2,2,Wilderness- Haven,1123,,2018,303,320
Single Family Residential,Leawood,66209,680000,5,4.5,Highlands Of Leawood,4415,18964,1994,154,67
Condo/Co-op,Leawood,66206,312900,1,1.5,Mission Farms Condominiums,1106,1306,2006,283,383
Single Family Residential,Overland Park,66085,775000,5,4,Sundance Ridge- Archers Landing,3860,10446,2021,201,113
Single Family Residential,Overland Park,66204,675000,3,2,Milburn Crest,2330,23958,1915,290,
Townhouse,Overland Park,66085,390000,3,2.5,Retreat at the Wilderness,1664,1718,2002,234,379
Single Family Residential,Overland Park,66209,569000,2,2.5,Hawthorne Place,2895,7825,1987,197,299
Single Family Residential,Overland Park,66221,865000,5,5,Chapel Hill,2773,9450,2024,312,100
Townhouse,Overland Park,66212,229900,2,1.5,Greenbrier Park,1056,1500,1967,218,333
Single Family Residential,Overland Park,66212,349900,3,2,Morningview,1835,11627,1959,191,
Single Family Residential,Overland Park,66223,865000,6,5.5,Lionsgate- By the Green,5219,12454,2003,166,140
Single Family Residential,Overland Park,66221,760000,4,4.5,Nottingham St. Andrews,4750,18584,1996,160,75
Townhouse,Overland Park,66085,370000,3,2.5,Wilderness- Parkview at the,1685,2721,2018,220,295
Single Family Residential,Overland Park,66013,409900,3,3.5,Southpointe,1793,5000,2021,229,
Single Family Residential,Overland Park,66085,570000,4,3,Villas at Metcalf Village,2377,4356,2020,240,300
Townhouse,Overland Park,66212,187000,2,1.5,Gramercy Place,1024,21420,1970,183,321
Single Family Residential,Overland Park,66213,615000,5,5,Nottingham By The Green,4472,14146,1995,138,71
Condo/Co-op,Overland Park,66210,198500,2,2,The Crossings,1150,1390,1983,173,452
Single Family Residential,Overland Park,66085,653190,4,3.5,Sundance Ridge- Archers Landing,2551,10822,2024,256,113
Single Family Residential,Overland Park,66224,907059,4,3.5,Mission Ranch,3225,12692,,281,133
Single Family Residential,Overland Park,66223,595000,5,5,The Park at Forest Green,4373,9833,2003,136,58
Single Family Residential,Overland Park,66085,799900,5,4,Southern Meadows,2891,11355,2025,277,100
Single Family Residential,Overland Park,66085,889950,5,5,Wilshire Hills,4020,11546,2025,221,1600
